cornerstone_investor,stock_code,company_name
Capital Management Limited,02259,Zijin Gold International Company Limited
Carl Wu / 吳啟楠,02508,SAINT BELLA Inc.
"CDH Emerging Markets Fund II, L.P.",02698,Softcare Limited
CDH Global Frontier Ventures Limited,03887,HashKey Holdings Limited
Cephei Capital Management (Hong Kong) Limited,02788,Chuangxin Industries Holdings Limited
CFIG Holdings Limited,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
Changfeng Growth Equity Fund OFC,01333,"Breton Technology Co., Ltd.- H shares"
Charisma Mega Limited,02698,Softcare Limited
Charoen Pokphand Foods Public Company Limited,02714,"Muyuan Foods Co., Ltd. - H shares"
Charoen Pokphand Robot Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Charoen Pokphand Robot Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
Chau Tsang Cheong,03268,"MeiG Smart Technology Co., Ltd. - H Shares"
"Cheng A International Co., Limited",02768,"Qingdao Gon Technology Co., Ltd. - H shares"
Chia Tai Food Investment Company Limited,06831,Green Tea Group Limited
CHIL,02493,"Mabwell (Shanghai) Bioscience Co., Ltd. - B - H Shares"
China Alpha Fund Management (HK) Limited,09927,"Seres Group Co., Ltd. - H shares"
China Alpha Fund Management (HK) Ltd,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
China AMC,03696,InSilico Medicine Cayman TopCo
China Asset Management (Hong Kong) Limited,02508,SAINT BELLA Inc.
China Asset Management (Hong Kong) Limited,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
China Asset Management (Hong Kong) Limited,02698,Softcare Limited
China Asset Management (Hong Kong) Limited,03636,"Yunnan Jinxun Resources Co., Ltd. - H shares"
China Asset Management (Hong Kong) Limited,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
"China Asset Management Co., Ltd.",03277,Gpixel Changchun Microelectronics Inc. - H Shares
"China Asset Management Co., Ltd.",06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
"CHINA CINDA ASSET MANAGEMENT CO., LIMITED",03858,Jiaxin International Resources Investment Limited
China Hongqiao Group Limited,02788,Chuangxin Industries Holdings Limited
China MeiDong Auto Holdings Limited,09927,"Seres Group Co., Ltd. - H shares"
China Merchants Securities Investment Management (Hong Kong) Company Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
China Mobile International Holdings Limited,02571,"Beijing Saimo Technology Co., Ltd. - H shares"
China Orient Enhanced Income Fund,06810,"Shanghai Sunmi Technology Co., Ltd. - W - H Shares"
China Orient International Asset Management Limited — China Orient Enhanced Income Fund,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
China Orient International Asset Management Limited — China Orient Multi-Strategy Master Fund,03277,Gpixel Changchun Microelectronics Inc. - H Shares
China Orient International Asset Management Limited — China Orient Multi-Strategy Master Fund,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
China Pinnacle Equity Management Limited,01989,Delton Technology (Guangzhou) Inc. - H Shares
China Pinnacle Equity Management Limited,03288,Foshan Haitian Flavouring and Food Company Ltd. - H shares
China Pinnacle Equity Management Limited,03986,GigaDevice Semiconductor Inc. - H shares
China Post Insurance and PBOC WM,02580,"AUX ELECTRIC CO., LTD."
China Post Life Insurance Company Limited,02580,"AUX ELECTRIC CO., LTD."
"China Southern Asset Management Co., Ltd.",06082,"Shanghai Biren Technology Co., Ltd.- H shares"
"China Southern Asset Management Co., Ltd.",06603,IFBH Limited
"China Southern Asset Management Co., Ltd. (南方基金管理股份有限公司)",02698,Softcare Limited
China Universal Asset Management (Hong Kong) Company Limited,00100,MiniMax Group Inc. - W - P
China Universal Asset Management (Hong Kong) Company Limited,02259,Zijin Gold International Company Limited
China Universal Asset Management (Hong Kong) Company Limited,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
China Universal Asset Management (Hong Kong) Company Limited,06687,JST Group Corporation Limited
China Universal Asset Management (Hong Kong) Company Limited,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
"China Universal Asset Management Co., Ltd",06687,JST Group Corporation Limited
"China Universal Asset Management Co., Ltd.",09606,"Duality Biotherapeutics, Inc. - B"
China Universal Asset Management Company Limited,02259,Zijin Gold International Company Limited
China Universal Asset Management Company Limited,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
China Winning Limited,03268,"MeiG Smart Technology Co., Ltd. - H Shares"
ChinaAMC (HK),01304,"Fortior Technology (Shenzhen) Co., Ltd.- H shares"
Chongqing Industrial Investment Parent Fund Enterprise Partnership (L.P.),09927,"Seres Group Co., Ltd. - H shares"
CICC Financial Trading Limited,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
CICC Financial Trading Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
CICC Financial Trading Limited,06168,"Zhou Liu Fu Jewellery Co., Ltd. - H shares"
Cithara Global Multi-Strategy SPC - Bosideng Industry Investment Fund SP,06090,BUTONG GROUP
Cithara Global Multi-Strategy SPC – Bosideng Industry Investment Fund SP,03887,HashKey Holdings Limited
Cithara Global Multi-Strategy SPC – Bosideng Industry Investment Fund SP,06166,"CIG SHANGHAI CO., LTD. - H shares"
Cithara Global Multi-Strategy SPC — Bosideng Industry Investment Fund SP,03317,"Shenzhen Xunce Technology Co., Ltd.- H shares"
Cithara Global Multi-Strategy SPC — Bosideng Industry Investment Fund SP,06600,"OneRobotics (Shenzhen) Co., Ltd.- H shares"
Cithara Global Multi-Strategy SPC — Disruptive Innovation Investment Fund SP,03277,Gpixel Changchun Microelectronics Inc. - H Shares
CITIC Securities International,02259,Zijin Gold International Company Limited
CITIC Securities International Capital Management Limited,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
CITIC Securities International Capital Management Limited,06693,"Chifeng Jilong Gold Mining Co., Ltd. - H shares"
Cloud Map,03296,"Huaqin Co., Ltd. - H Shares"
CloudAlpha Capital Management Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
CloudAlpha Capital Management Limited,03986,GigaDevice Semiconductor Inc. - H shares
CloudAlpha Capital Management Limited,06166,"CIG SHANGHAI CO., LTD. - H shares"
Cloudview Capital Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
CM Shanghai Fund,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
CMBC International,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
CNCB (Hong Kong) Investment Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Colorful Cloud Holdings Limited,02671,"USAS Building System (Shanghai) Co., Ltd. - H shares"
Commando Global Fund,02525,Hesai Group - W
Cordial Solar Limited,01276,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. - H shares"
CoreView,07618,"JINGDONG Industrials, Inc."
"Cowealth Medical China Co., Ltd.",02581,BenQ BM Holding Cayman Corp.
CPE Energy Investment Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
CPE Fir,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
CPE Investment,07618,"JINGDONG Industrials, Inc."
CPE Peepal Investment Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
CPE Redwood Investment Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
CPE River Investment Limited,02259,Zijin Gold International Company Limited
CPE Rosewood Investment Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
CPIC,00638,Fibocom Wireless Inc. - H shares
CPIC Investment Management (H.K.) Company Limited,02259,Zijin Gold International Company Limited
CPIC Investment Management (H.K.) Company Limited,02788,Chuangxin Industries Holdings Limited
CPIC Investment Management (H.K.) Company Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
CPIC Investment Management (H.K.) Company Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
CR Construction Group Holdings Limited,00068,Manycore Tech Inc.
Da Cheng International,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
Da Cheng International Asset Management Company Limited,06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
Dacheng Fund Management Company Limited,06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
"Dajia Life Insurance Co., Ltd.",00501,"OmniVision Integrated Circuits Group, Inc. - H shares"
"Dajia Life Insurance Co., Ltd.",01989,Delton Technology (Guangzhou) Inc. - H Shares
"Dajia Life Insurance Co., Ltd.",02657,"SHANGHAI FOREST CABIN COSMETICS GROUP CO., LTD. - H shares"
"Dajia Life Insurance Co., Ltd.",02714,"Muyuan Foods Co., Ltd. - H shares"
"Dajia Life Insurance Co., Ltd.",06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
"Dajia Life Insurance Co., Ltd.",09973,"Chery Automobile Co., Ltd. - H shares"
Dao Yi Capital Limited,02259,Zijin Gold International Company Limited
Deep Source Holdings Limited,02715,"ESTUN AUTOMATION CO., LTD - H Shares"
Deep Source Holdings Limited,03887,HashKey Holdings Limited
DeepRoot Alpha Ltd,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
Degao Mining Technology Limited,02693,"ANHUI JINYAN KAOLIN NEW MATERIALS CO., LTD. - H shares"
"Deliante Holdings Co., Ltd.",02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
DENG Haifeng,02591,"Guangzhou Innogen Pharmaceutical Group Co., Ltd. - B - H shares"
Derivatives China Alpha Fund SPC (acting for and on behalf of Derivatives China Fundamental Fund SP),02659,"Shanghai Bao Pharmaceuticals Co., Ltd. - B - H shares"
Desay SV Automotive Singapore Pte. Ltd.,00600,"Axera Semiconductor Co., Ltd. - H shares"
Digital China (HK) Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Dongsheng Pulead Technology and Guotai Junan Investments (Hong Kong) Limited (in connection with Dongsheng Pulead OTC Swaps),02579,"CNGR Advanced Material Co., Ltd. - H shares"
Dragon Merit Holdings Limited,03880,Medtide Inc. - H shares
Dream ’ee (Hong Kong) Open-ended Fund Company,02408,"Guangzhou Xiao Noodles Catering Management Co., Ltd.- H shares"
Dream ’ee (Hong Kong) Open-ended Fund Company,02715,"ESTUN AUTOMATION CO., LTD - H Shares"
Dream ’ee HK Fund,00638,Fibocom Wireless Inc. - H shares
Dream’ ee (Hong Kong) Open-ended Fund Company,02655,"Guoxia Technology Co., Ltd. - H shares"
Dream’ee HK Fund,02676,"Suzhou Novosense Microelectronics Co., Ltd. - H shares"
"Duckling Fund, L.P.",01364,Guming Holdings Limited
"Duckling Fund, L.P.",02657,"SHANGHAI FOREST CABIN COSMETICS GROUP CO., LTD. - H shares"
"Duckling Fund, L.P.",09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
Dymon Asia Multi-Strategy Investment Master Fund,03986,GigaDevice Semiconductor Inc. - H shares
Dymon Asia Multi-Strategy Investment Master Fund,06166,"CIG SHANGHAI CO., LTD. - H shares"
Dymon Asia Multi-Strategy Investment Master Fund,06687,JST Group Corporation Limited
E Fund,01768,"BUSY MING GROUP CO., LTD.- H shares"
E Fund Management,03696,InSilico Medicine Cayman TopCo
"E Fund Management (Hong Kong) Co., Ltd.",03277,Gpixel Changchun Microelectronics Inc. - H Shares
"E Fund Management (Hong Kong) Co., Ltd.",09606,"Duality Biotherapeutics, Inc. - B"
"E Fund Management (Hong Kong) Co., Ltd.",09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
"E Fund Management (Hong Kong) Co., Ltd. (易方達資產管理(香港)有限公司)",02698,Softcare Limited
"E Fund Management Co., Ltd.",00100,MiniMax Group Inc. - W - P
"E Fund Management Co., Ltd.",03277,Gpixel Changchun Microelectronics Inc. - H Shares
"E Fund Management Co., Ltd.",09606,"Duality Biotherapeutics, Inc. - B"
"E Fund Management Co., Ltd.",09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
"E Fund Management Co., Ltd. (易方達基金管理有限公司)",02698,Softcare Limited
Eastern Bell Capital VIII Investment Limited,00699,NINGBO JOYSON ELECTRONIC CORP.- H shares
Eastern Bell Capital VIII Investment Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Eastern Bell Capital VIII Investment Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Eastspring Investments (Singapore) Limited,00100,MiniMax Group Inc. - W - P
Eastspring Investments (Singapore) Limited,01989,Delton Technology (Guangzhou) Inc. - H Shares
Eastspring Investments (Singapore) Limited,02026,Pony AI Inc. - W
Eastspring Investments (Singapore) Limited,02590,"Beijing Geekplus Technology Co., Ltd. - W - H shares"
Eastspring Investments (Singapore) Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Emerging Markets Healthcare Partners LLC,03696,InSilico Medicine Cayman TopCo
Emerging Markets Healthcare Partners LLC,09606,"Duality Biotherapeutics, Inc. - B"
Endless Growth NH Limited,09611,"Shanghai Longcheer Technology Co., Ltd.- H shares"
"Engine International Technology Co., Limited",09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
Enhanced Investment Products Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Enhanced Investment Products Limited,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
Enreal China Master Fund and Forreal China Value Fund,06603,IFBH Limited
Erik Selin Fastigheter Aktiebolag,06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
Etarget Limited,02590,"Beijing Geekplus Technology Co., Ltd. - W - H shares"
Eternal Summer Consulting Company Ltd.,01021,"Guangdong Huayan Robotics Co., Ltd. - H Shares"
"EVE Asia Co., Limited",02643,CaoCao Inc.
Everbright Wealth,03296,"Huaqin Co., Ltd. - H Shares"
"Everbright Wealth Management Co., Ltd.",02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Evergreen Gate Limited,02629,Mirxes Holding Company Limited - B
Factorial Master Fund,00600,"Axera Semiconductor Co., Ltd. - H shares"
Factorial Master Fund,03317,"Shenzhen Xunce Technology Co., Ltd.- H shares"
Factorial Master Fund,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
"FCP Domains Co., Ltd.",02648,"Anjoy Foods Group Co., Ltd. - H shares"
FengHe Asia Fund Ltd.,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
"Fidelidade – Companhia de Seguros, S.A.",00699,NINGBO JOYSON ELECTRONIC CORP.- H shares
Fidelity International,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
FIL Investment,01768,"BUSY MING GROUP CO., LTD.- H shares"
FIL Investment Management (Hong Kong) Limited,02259,Zijin Gold International Company Limited
FIL Investment Management (Hong Kong) Limited,02657,"SHANGHAI FOREST CABIN COSMETICS GROUP CO., LTD. - H shares"
FIL Investment Management (Hong Kong) Limited,02714,"Muyuan Foods Co., Ltd. - H shares"
FIL Investment Management (Hong Kong) Limited,03887,HashKey Holdings Limited
First Seafront Fund Series SPC,02768,"Qingdao Gon Technology Co., Ltd. - H shares"
FMF,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
FMR Participating Funds,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
Foresight Capital Steady Growth LPF,03355,FS.COM Ltd. - H Shares
FORESIGHT GLOBAL SUPERIOR CHOICE SPC – GLOBAL SUPERIOR CHOICE FUND 1 SP,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
"Foresight Global Superior Choice SPC – Global Superior Choice Fund 1 SP, Foresight Global Superior Choice SPC – Vision Fund 1 SP, and Foresight Global Superior Choice SPC – Horizon Fund 1 SP",02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Foresight Global Superior Choice SPC – Global Superior Choice Series Fund 1 SP and Foresight Global Superior Choice SPC – Vision Fund 1 SP,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Foresight Global Superior Choice SPC – Vision Fund 1 SP,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
Formosa Opportunity Limited,00501,"OmniVision Integrated Circuits Group, Inc. - H shares"
"Foshan Development Co., Ltd.",03288,Foshan Haitian Flavouring and Food Company Ltd. - H shares
Fourier Capital,01304,"Fortior Technology (Shenzhen) Co., Ltd.- H shares"
Fourier Capital Management Limited,06687,JST Group Corporation Limited
Fourth Paradigm International Limited,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
FUHUIDA HK,01641,"Hongxing Coldchain (Hunan) Co., Ltd.- H shares"
Fullgoal,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
Fullgoal Asset Management (HK) Limited,00325,Bloks Group Limited
Fullgoal Asset Management (HK) Limited,02259,Zijin Gold International Company Limited
Fullgoal Asset Management (HK) Limited,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
Fullgoal Asset Management (HK) Limited,02698,Softcare Limited
Fullgoal Asset Management (HK) Limited,02768,"Qingdao Gon Technology Co., Ltd. - H shares"
Fullgoal Asset Management (HK) Limited,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
Fullgoal Asset Management (HK) Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Fullgoal Asset Management (HK) Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Fullgoal Asset Management (HK) Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
Fullgoal Asset Management (HK) Limited,09606,"Duality Biotherapeutics, Inc. - B"
"Fullgoal Asset Management (HK) Limited and Fullgoal Fund Management Co., Ltd.",02788,Chuangxin Industries Holdings Limited
Fullgoal Asset Management Limited,03858,Jiaxin International Resources Investment Limited
Fullgoal Fund,03696,InSilico Medicine Cayman TopCo
Fullgoal Fund,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
"Fullgoal Fund Management Co., Ltd.",00325,Bloks Group Limited
"Fullgoal Fund Management Co., Ltd.",02259,Zijin Gold International Company Limited
"Fullgoal Fund Management Co., Ltd.",02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
"Fullgoal Fund Management Co., Ltd.",03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
"Fullgoal Fund Management Co., Ltd.",03277,Gpixel Changchun Microelectronics Inc. - H Shares
"Fullgoal Fund Management Co., Ltd.",03858,Jiaxin International Resources Investment Limited
"Fullgoal Fund Management Co., Ltd.",06082,"Shanghai Biren Technology Co., Ltd.- H shares"
"Fullgoal Fund Management Co., Ltd.",06656,"Sigenergy Technology Co., Ltd. - H Shares"
"Fullgoal Fund Management Co., Ltd.",09606,"Duality Biotherapeutics, Inc. - B"
"Fullgoal Fund Management Co., Ltd. (富國基金管理有限公司)",02698,Softcare Limited
Fullgoal HK,03696,InSilico Medicine Cayman TopCo
Fund Resources Investment Holding Group Company Limited,03378,"Hanx Biopharmaceuticals (Wuhan) Co., Ltd. - B - H shares"
Galaxy Dynasty Limited,02677,Distinct Healthcare Holdings Limited
Genimous Investment,00638,Fibocom Wireless Inc. - H shares
GF Fund,01021,"Guangdong Huayan Robotics Co., Ltd. - H Shares"
GF Fund,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
GF Fund HK,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
GF Fund Management,00638,Fibocom Wireless Inc. - H shares
"GF Fund Management Co., Ltd.",03277,Gpixel Changchun Microelectronics Inc. - H Shares
"GF Fund Management Co., Ltd.",03858,Jiaxin International Resources Investment Limited
"GF Fund Management Co., Ltd.",06168,"Zhou Liu Fu Jewellery Co., Ltd. - H shares"
"GF Fund Management Co., Ltd.",09927,"Seres Group Co., Ltd. - H shares"
"GF Fund Management Co., Ltd. and GF International Investment Management Limited",00068,Manycore Tech Inc.
GF Global Capital Limited,02658,"Guangdong Tianyu Semiconductor Co., Ltd. - H shares"
GF International,00638,Fibocom Wireless Inc. - H shares
GF International Investment Management Limited,02259,Zijin Gold International Company Limited
GF International Investment Management Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
GF International Investment Management Limited,03355,FS.COM Ltd. - H Shares
GF International Investment Management Limited,03858,Jiaxin International Resources Investment Limited
GF International Investment Management Limited,06603,IFBH Limited
GF International Investment Management Limited,09927,"Seres Group Co., Ltd. - H shares"
"GF Management Co., Ltd. and GF International Investment Management Limited",02788,Chuangxin Industries Holdings Limited
"GF Securities Asset Management (Guangdong) Co., Ltd",02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
GFH Financial Group B.S.C.,02718,Mininglamp Technology - W
Ghisallo Fund Master Ltd,00501,"OmniVision Integrated Circuits Group, Inc. - H shares"
Ghisallo Fund Master Ltd,02026,Pony AI Inc. - W
Ghisallo Fund Master Ltd.,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Ghisallo Fund Master Ltd.,09927,"Seres Group Co., Ltd. - H shares"
GIC,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
GIC Private Limited,01276,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. - H shares"
GIC Private Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
GIC Private Limited,02259,Zijin Gold International Company Limited
GIC Private Limited,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
GIC Private Limited,03288,Foshan Haitian Flavouring and Food Company Ltd. - H shares
GIGA Industries Limited,02546,"Xizang Zhihui Mining Co., Ltd. - H shares"
GIMM Holding Limited,02508,SAINT BELLA Inc.
Ginkgo Capital Global Fund SPC-XtalPi AI Fund SP,02591,"Guangzhou Innogen Pharmaceutical Group Co., Ltd. - B - H shares"
GKI,06636,"Shandong Extreme Vision Technology Co., Ltd. - H Shares"
Glencore International AG,02610,Nanshan Aluminium International Holdings Limited
Glencore International AG,02788,Chuangxin Industries Holdings Limited
Glencore International AG,03636,"Yunnan Jinxun Resources Co., Ltd. - H shares"
Globe Asia Investments Limited,02259,Zijin Gold International Company Limited
Glory Ocean Innovation Limited,02658,"Guangdong Tianyu Semiconductor Co., Ltd. - H shares"
GM Charm Yield Limited,01364,Guming Holdings Limited
Gold Mountains International Mining Company Limited,06693,"Chifeng Jilong Gold Mining Co., Ltd. - H shares"
Gold Wings Holdings Limited,09927,"Seres Group Co., Ltd. - H shares"
Golden K2 Falcon Open-ended Fund Company,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Golden Link,02676,"Suzhou Novosense Microelectronics Co., Ltd. - H shares"
Golden Valley Global Limited,01364,Guming Holdings Limited
Golden Valley Global Limited,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
Golden Valley Value Select Master Fund,01364,Guming Holdings Limited
Golden Valley Value Select Master Fund,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
Goldman Sachs Asset Management (Hong Kong) Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
GOTION HIGH-TECH (HK) LIMITED,09973,"Chery Automobile Co., Ltd. - H shares"
"Gotion High-tech Co., Ltd.",02560,"Anhui Conch Material Technology Co., Ltd. - H shares"
GOTION HIGH-TECH LIMITED,02643,CaoCao Inc.
Grab Inc.,02525,Hesai Group - W
GRANITE ASIA IX VCC (for the account of and on behalf of GX ACCESS),00600,"Axera Semiconductor Co., Ltd. - H shares"
GRANITE ASIA VIII INVESTMENTS PTE. LTD.,06687,JST Group Corporation Limited
Great China Motivation Fund Phase II L.P.,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
Great Holding Development Limited,03355,FS.COM Ltd. - H Shares
Great Praise Investment SPC - Selected AI Fund SP,06090,BUTONG GROUP
Greater Bay Area Development Fund Management Limited,01989,Delton Technology (Guangzhou) Inc. - H Shares
Greater Bay Area Development Fund Management Limited,03986,GigaDevice Semiconductor Inc. - H shares
Greater Bay Area Development Fund Management Limited for and on behalf of the Managed Account of Mega Prime Development Limited,02543,"DAHON TECH (SHENZHEN) CO., LTD. - H shares"
Greater Bay Area Homeland Investments Limited,02259,Zijin Gold International Company Limited
Greater Bay Area Homeland Investments Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Greater Bay Area Homeland Investments Limited,02546,"Xizang Zhihui Mining Co., Ltd. - H shares"
Green Better,02676,"Suzhou Novosense Microelectronics Co., Ltd. - H shares"
Green Better,03296,"Huaqin Co., Ltd. - H Shares"
Green Better Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Green Better Limited,03986,GigaDevice Semiconductor Inc. - H shares
Green Better Limited,06613,"Lens Technology Co., Ltd. - H shares"
Greenwoods,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
Greenwoods Asset Management Hong Kong Limited,00325,Bloks Group Limited
Greenwoods Asset Management Hong Kong Limited,01989,Delton Technology (Guangzhou) Inc. - H Shares
Greenwoods Asset Management Hong Kong Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Greenwoods Asset Management Hong Kong Limited,02259,Zijin Gold International Company Limited
Greenwoods Asset Management Hong Kong Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Greenwoods Asset Management Hong Kong Limited,02648,"Anjoy Foods Group Co., Ltd. - H shares"
